Municipios	2013	2014	2015	2016	2017
Armenia	130	135.1	135.7	147.7	147.7
Buenavista	158	158	134.3	134.3	139.3
Calarcá	159	162	148	114	133
Circasia	25	26.5	26.5	31	44
Córdoba	144	144	143	432	442
Filandia	23	25	28	41	60
Génova	103	103	113	183	219
La Tebaida	324	267	296	328.5	377.5
Montenegro	350	350	351.3	390.8	390.8
Pijao	97	155	155	155	169.9
Quimbaya	338	359.4	380.8	400.8	418.9
Salento	138	138	110	141.2	156.2
