Municipios	2013	2014	2015	2016	2017
Armenia	227	234.6	430.5	460.5	482.5
Buenavista	14	15.7	13.1	17.1	17.1
Calarcá	152	152	185	230	292
Circasia	26	62	51	50	106
Córdoba	27	27	27	43.4	43.4
Filandia	285	290	297	308.5	426.5
Génova	26	26	26	21.7	23.7
La Tebaida	149	172.7	173.7	177.6	179.3
Montenegro	364	394.6	659.1	818.8	818.8
Pijao	214	239.9	239.9	269.9	370.9
Quimbaya	219	287.5	293	188	365.6
Salento	56	100	183	300.5	518
