"AÑO_INFRACCION","MES_INFRACCION","CLASE_VEHICULO_INFRACTOR","sum_CANTIDAD_INFRACCIONES"
"2019","5","BUSETA","59"
"2019","5","MICROBUS","144"
"2019","5","BUS","217"
"2019","5","TRACTO/CAMION","56"
"2019","5","MOTOTRICICLO","1"
"2019","5","MONTACARGAS","1"
"2019","5","DUMPER VOLQUETAARTICULADA","1"
"2019","6","CICLO TAXI","1006"
"2019","6","Otros","374"
"2019","6","AUTOMOVIL","2930"
"2019","6","BICICLETA","3"
"2019","6","DUMPER VOLQUETAARTICULADA","16"
"2019","6","TRACCION ANIMAL","6"
"2019","6","CAMIONETA","793"
"2019","6","MOTOCICLETA","7256"
"2019","6","MOTOCARRO","164"
"2019","6","CAMPERO","120"
"2019","6","CAMION","235"
"2019","6","MOTOCICLO","4"
"2019","6","VOLQUETA","43"
"2019","6","MICROBUS","99"
"2019","6","BUS","153"
"2019","6","BUSETA","48"
"2019","6","TRACTO/CAMION","43"
