Municipios	2013	2014	2015	2016	2017
Armenia	150	150	534.8	534.9	542.9
Buenavista	640	640	653.1	637.35	649.6
Calarcá	262	262	390	389.68	379.92
Circasia	30	30	32	33	16
Córdoba	158	158	163.6	55.6	93.1
Filandia	25	25	25	0.5	1
Génova	100	100	175.7	175.7	185.7
La Tebaida	830	875.6	1781.2	1021.28	883.4
Montenegro	1830	1830	1534	1534	1252.44
Pijao	410	410	1195.12	1071.38	988.54
Quimbaya	418	425	747.6	3	3
Salento	1	1	0	747.68	813.7
