Municipios	2013	2014	2015	2016	2017
Armenia	3874	3882.4	3883	3508	3388
Buenavista	2015	2055	1747	1757	1767
Calarcá	3403	3403	3685	3700	3640
Circasia	850	862.5	870	1037	950
Córdoba	1092	1137	1092	1344	1344
Filandia	2277	2277	2301	2325	2265
Génova	1599	1679	1763	1944	2041
La Tebaida	771	812.5	838.9	860	871.3
Montenegro	2500	2518	2536	2542.5	2570.5
Pijao	2150	2158	2158	2158	2189.9
Quimbaya	2998	3058.6	4772	667.3	4846.5
Salento	665	665	665	4824	672.3
